model,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,config_idx,hidden_layers,dropout_rate,l2_reg,epochs_trained
TF-IDF Keras MLP,0.5681818181818182,0.5365853658536586,1.0,0.6984126984126984,3,19,0,22,0.25000000000000006,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.5681818181818182,0.5365853658536586,1.0,0.6984126984126984,3,19,0,22,0.30000000000000004,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.5681818181818182,0.5365853658536586,1.0,0.6984126984126984,3,19,0,22,0.3500000000000001,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.5681818181818182,0.5365853658536586,1.0,0.6984126984126984,3,19,0,22,0.45000000000000007,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5454545454545454,0.5238095238095238,1.0,0.6875,2,20,0,22,0.15000000000000002,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.5454545454545454,0.5238095238095238,1.0,0.6875,2,20,0,22,0.25000000000000006,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.7272727272727273,0.8125,0.5909090909090909,0.6842105263157895,19,3,9,13,0.5500000000000002,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.7045454545454546,0.7368421052631579,0.6363636363636364,0.6829268292682927,17,5,8,14,0.5500000000000002,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.5227272727272727,0.5116279069767442,1.0,0.676923076923077,1,21,0,22,0.1,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.5227272727272727,0.5116279069767442,1.0,0.676923076923077,1,21,0,22,0.20000000000000004,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.5227272727272727,0.5116279069767442,1.0,0.676923076923077,1,21,0,22,0.1,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.5227272727272727,0.5116279069767442,1.0,0.676923076923077,1,21,0,22,0.3500000000000001,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5227272727272727,0.5116279069767442,1.0,0.676923076923077,1,21,0,22,0.25000000000000006,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5227272727272727,0.5116279069767442,1.0,0.676923076923077,1,21,0,22,0.40000000000000013,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5227272727272727,0.5116279069767442,1.0,0.676923076923077,1,21,0,22,0.30000000000000004,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5227272727272727,0.5121951219512195,0.9545454545454546,0.6666666666666666,2,20,1,21,0.40000000000000013,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.20000000000000004,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.1,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.15000000000000002,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.15000000000000002,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.1,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.1,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.15000000000000002,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.7272727272727273,0.8571428571428571,0.5454545454545454,0.6666666666666666,20,2,10,12,0.9000000000000002,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.30000000000000004,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.5,0.5,1.0,0.6666666666666666,0,22,0,22,0.15000000000000002,3,[32],0.3,0.001,21
